12A 13A 15A 18A 20A 22A 25A 25B 30A 30B 35A 35B 35C 40A 40B 40C
 1.77E-06 1.72E-06 8.21E-07 3.40E-24 3.62E-26 6.00E-06 1.48E-22 7.85E-06 2.24E-21 7.87E-06 1.46E-38 7.81E-17 7.88E-06 1.31E-38 1.97E-21 1.33E-05 
 3.53E-06 4.05E-06 7.27E-06 6.44E-20 7.25E-22 5.06E-05 2.65E-17 2.54E-05 4.73E-16 6.91E-06 1.62E-32 1.77E-13 7.79E-06 2.71E-32 8.41E-17 1.53E-05 
 1.75E-06 4.93E-06 6.20E-06 1.42E-18 1.23E-20 8.01E-06 1.54E-15 1.09E-05 2.66E-14 5.25E-06 1.70E-35 1.63E-13 7.65E-06 1.38E-35 5.17E-15 1.16E-05 
 3.62E-07 4.35E-07 1.08E46 2.23E-14 3.46E-16 1.56E-06 4.31E-11 1.63E-06 8.88E-10 4.60E-07 5.47E-31 3.66E-10 3.16E-06 9.17E-31 4.17E-11 5.95E-07 
 1.41E-09 4.39E-10 1.19E-09 3.44E-15 3.42E-17 5.42E-09 7.16E-12 3.98E-09 1.45E-10 1.06E-09 1.03E-33 5.72E-11 1.05E-09 1.64E-33 7.03E-12 1.85E-09 
 6.64E-09 4.12E-10 4.21E-10 1.53E-14 1.01E-16 1.17E-09 6.39E-11 8.98E-10 1.23E-09 1.99E-09 4.63E-36 5.39E-10 1.08E-09 7.12E-36 6.29E-11 1.41E-09 
 1.61E-06 2.35E-06 1.48E-06 5.45E-21 1.81E-23 1.25E-05 3.97E-18 1.93E-05 6.51E-17 1.10E-05 2.16E-38 9.87E-17 1.63E-05 2.21E-38 1.57E-17 2.27E-05 
 3.90E-05 1.24E-04 1.56E-04 9.45E-20 5.35E-22 1.07E-04 1.15E-16 2.15E-04 1.94E-15 1.15E-04 2.83E-37 1.68E-15 3.08E-04 2.94E-37 4.47E-16 3.04E-04 
 3.68E-05 6.93E-05 6.17E-05 2.17E-19 6.24E-22 1.28E-04 2.06E-16 2.09E-04 3.41E-15 1.21E-04 2.00E-33 2.31E-13 1.89E-04 3.50E-33 6.84E-16 2.88E-04 
 8.26E-08 1.57E-07 2.66E-07 5.23E-19 1.21E-21 1.04E-06 9.13E-16 8.95E-07 1.44E-14 2.47E-07 1.07E-36 1.19E-13 2.63E-07 1.18E-36 3.04E-15 4.73E-07 
